image,MEL,NV,BCC,AKIEC,BKL,DF,VASC,contrast,correlation,energy,dissimilarity,ASM,homogeneity,class_name,class
ISIC_0024306,0.0,1.0,0.0,0.0,0.0,0.0,0.0,70.14585049156001,0.9837221576580297,0.6394217092152003,1.3742904841402337,0.40886012221568807,0.7679129967669549,NV,1
ISIC_0024307,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80.85252457800038,0.9885694510147394,0.566694442484033,1.5796698200704877,0.32114259114228905,0.7219436731240774,NV,1
ISIC_0024308,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75.26990168799854,0.9777760009310732,0.6112184842940016,2.0311036913374143,0.37358803554265674,0.7042106768141078,NV,1
ISIC_0024309,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51.31844926729734,0.9876247858744538,0.6290773883687842,1.0510109441662028,0.3957383605568902,0.7823081799798325,NV,1
ISIC_0024310,1.0,0.0,0.0,0.0,0.0,0.0,0.0,82.85112966054535,0.9800182836758004,0.7443975144310708,1.7395214245965491,0.5541276594911563,0.7966003629858832,MEL,0
ISIC_0024311,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59.80879243183084,0.9872040864134247,0.6882604246394944,1.274628083843443,0.47370241212493713,0.7829255144490119,NV,1
ISIC_0024312,0.0,0.0,0.0,0.0,1.0,0.0,0.0,98.01637544054908,0.9904797640799966,0.5508885388490772,1.802752736041551,0.3034781822352712,0.6926799128990195,BKL,4
ISIC_0024313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.633307364125386,0.9861929320976339,0.8846947476158645,0.7060730847709145,0.7826847964590983,0.9114247399802692,MEL,0
ISIC_0024314,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.38369133741421,0.9879350623731692,0.884975615061791,0.5809460211463551,0.7831818392539953,0.9218051740975299,NV,1
ISIC_0024315,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7058801706548,0.9695467417967757,0.9079001148209819,0.6771062882582082,0.8242826184919522,0.9275611091333684,MEL,0
ISIC_0024316,0.0,1.0,0.0,0.0,0.0,0.0,0.0,64.99586718605082,0.985832957706573,0.5385940422341889,1.6190317195325536,0.29008354233016326,0.6903352863156531,NV,1
ISIC_0024317,0.0,1.0,0.0,0.0,0.0,0.0,0.0,88.02657020960864,0.9816037104206049,0.6223182835900023,1.653081061027639,0.38728004609040656,0.7317885576450397,NV,1
