img,contrast,correlation,energy,dissimilarity,ASM,homogeneity
ISIC_0024392,97.4814542756446,0.992562984413695,0.2650044138522219,1.664759784826563,0.07022733936115969,0.7000520068950778
ISIC_0033084,859.9432461509925,0.9052650061798917,0.5124343031880423,8.320430346874423,0.26258891508381443,0.6112394622481107
ISIC_0026502,86.49501391207566,0.9831894894183688,0.12753750845443093,1.6785494342422553,0.01626581606276404,0.6167805166524862
ISIC_0029203,196.87164533481726,0.9866534890839049,0.46090250019437934,2.0082878872194394,0.21243111468542983,0.7394463248127441
ISIC_0028172,783.9103839732886,0.9112968056832066,0.17818008735707327,8.784002967909476,0.031748143530574265,0.49017498097275486
ISIC_0031603,402.31089964756075,0.9412709129287866,0.551965727413256,4.819028009645705,0.30466616423884485,0.6638691070430116
ISIC_0026403,317.63889816360603,0.9789795387772701,0.3510676986999319,4.918319421257652,0.12324852907046614,0.6086236065352777
ISIC_0026772,558.986291968095,0.9371888426585924,0.21252617420223846,7.035373771099981,0.04516737472104021,0.5135937069426555
ISIC_0028833,436.79476163977006,0.9469272828970802,0.6584950877334134,3.8269189389723617,0.43361578056903577,0.761297426661156
ISIC_0032164,1013.2176182526432,0.9005434311146786,0.3678725043846117,9.542025598219256,0.13533017948220616,0.5438130660037773
ISIC_0028351,648.7282322389167,0.7760737616336573,0.39081795693172666,10.432101650899646,0.15273867546028896,0.5096679189278962
ISIC_0032663,81.15850862548693,0.9915359342440249,0.14480540050071306,1.833500278241514,0.02096860401417191,0.5747888104506802
ISIC_0034266,505.4411723242442,0.9529853127510768,0.2354828115164925,4.616197365980337,0.05545215451971194,0.6882729853473791
ISIC_0032854,959.6344908180303,0.910827651540685,0.3915103574743994,8.927319606751995,0.153280360009732,0.5668175421137777
ISIC_0029397,146.72036356891113,0.9611014544418427,0.6449025085087352,2.471170469300686,0.4158992454808592,0.7421349209242961
ISIC_0025780,415.3638731218698,0.9193415079908337,0.3702379114448243,6.578260063068075,0.13707611107102557,0.5435070628021463
ISIC_0027750,187.08536449638282,0.9862610347926519,0.3141085243075838,2.2180152105360786,0.09866416504268796,0.688930214046783
ISIC_0026447,757.3263364867372,0.8491442634532395,0.6095443671340073,7.712290855128919,0.37154433550479743,0.6993046818074315
ISIC_0028431,946.5179076238176,0.9120798760923062,0.08594847887071638,9.268848080133555,0.007387141020189981,0.39546318414980663
ISIC_0025618,463.1768874049342,0.9554704648937419,0.15735727852845696,5.919176405119644,0.024761313105882386,0.4518120092954388
ISIC_0030701,243.0694119829344,0.9707312780866247,0.6881579876993547,2.0566425524021508,0.47356141603442514,0.8308600351347413
ISIC_0024797,53.01404563160824,0.9731429355956128,0.5567809300990152,1.5786458913003154,0.31000500412192444,0.7549616624288944
ISIC_0027254,1278.014442589501,0.8581564501797727,0.408827422572559,12.343338898163605,0.1671398614473217,0.5302938676247883
ISIC_0029500,1074.4077981821556,0.8680282758918215,0.30590129225294027,11.48704136523836,0.09357560060201876,0.4610767925802823
ISIC_0027095,303.439584492673,0.8938406936831746,0.7081716625181751,3.4258950102021886,0.501507103593756,0.8013768022125995
ISIC_0030051,78.81842329808941,0.9692671301911034,0.6193753232264652,1.7989612316824335,0.38362579102188815,0.7618050730250296
ISIC_0027902,105.47211649044702,0.9678714789190873,0.7176896344667961,1.6466369875718787,0.5150784114210835,0.8067133407599122
ISIC_0026027,601.6725357076609,0.8820838100593531,0.6082139363646824,5.487835281023929,0.36992419238822183,0.737018728905294
ISIC_0033947,863.1169022444815,0.9145680709639854,0.4623569738778534,8.014769059543683,0.21377397129348602,0.6102750669856368
ISIC_0027840,245.77201632350216,0.9537561304385882,0.57287651369678,3.250524948989056,0.328187499945377,0.7183484408642133
ISIC_0034039,187.65340753107031,0.9754448967393948,0.645920285681072,1.7858875904284919,0.41721301545431766,0.8396458933495253
ISIC_0025999,177.63491374513077,0.9800691403421874,0.17038246332093798,2.0938564273789653,0.029030183807310775,0.6468411701577343
ISIC_0026396,60.35235392320535,0.9597255383570081,0.6919559170012539,1.5334928584678171,0.4788029910730462,0.7998732527465682
ISIC_0033950,72.97358189575218,0.9953527006399582,0.32278021257804973,1.5956779818215543,0.10418706563193099,0.6876370390986157
ISIC_0025949,108.8162567241699,0.9800614393718939,0.6366556657660023,1.5858208124652196,0.4053304367519517,0.7943257536428167
ISIC_0032434,327.06428120942314,0.9363683944140098,0.5417561083964142,4.457106288258208,0.2934996809848273,0.6784070202635236
ISIC_0029159,230.68456687071043,0.9732826637304386,0.1769379691526336,2.780578742348358,0.031307044927858324,0.6455011701251987
ISIC_0024754,194.2182229641996,0.9742474568644507,0.5983957408303009,2.483591170469301,0.35807746264384466,0.7375887523428525
ISIC_0032234,323.49470970135405,0.9098100120682264,0.43653377583065034,5.542878872194397,0.1905617374409645,0.5977058037967465
ISIC_0025151,123.72068261918008,0.9732367557580258,0.5594041387979528,2.098764607679465,0.31293299050427925,0.7363367247375575
